condition,cultivation,day,replicate,biofilm_volume_x1e6
Commensal,Static,1,1,0.1824
Commensal,Static,1,2,0.2953
Commensal,Static,1,3,0.3231
Commensal,Static,1,4,0.4193
Commensal,Static,1,5,0.4269
Commensal,Static,1,6,0.4789
Commensal,Static,1,7,0.5116
Commensal,Static,1,8,0.5837
Commensal,Static,1,9,0.9
Commensal,Static,3,1,0.1785
Commensal,Static,3,2,0.2353
Commensal,Static,3,3,0.2485
Commensal,Static,3,4,0.293
Commensal,Static,3,5,0.3063
Commensal,Static,3,6,0.3537
Commensal,Static,3,7,0.3708
Commensal,Static,3,8,0.4981
Commensal,Static,3,9,0.57
Commensal,Static,6,1,0.1964
Commensal,Static,6,2,0.2631
Commensal,Static,6,3,0.2767
Commensal,Static,6,4,0.3289
Commensal,Static,6,5,0.3513
Commensal,Static,6,6,0.3992
Commensal,Static,6,7,0.4182
Commensal,Static,6,8,0.5649
Commensal,Static,6,9,0.64
Commensal,Static,10,1,0.1466
Commensal,Static,10,2,0.1692
Commensal,Static,10,3,0.1927
Commensal,Static,10,4,0.2919
Commensal,Static,10,5,0.3067
Commensal,Static,10,6,0.4082
Commensal,Static,10,7,0.4377
Commensal,Static,10,8,0.5917
Commensal,Static,15,1,0.0999
Commensal,Static,15,2,0.1946
Commensal,Static,15,3,0.2235
Commensal,Static,15,4,0.2779
Commensal,Static,15,5,0.2979
Commensal,Static,15,6,0.3518
Commensal,Static,15,7,0.3754
Commensal,Static,15,8,0.5608
Commensal,Static,21,1,0.1235
Commensal,Static,21,2,0.1768
Commensal,Static,21,3,0.1994
Commensal,Static,21,4,0.2706
Commensal,Static,21,5,0.2809
Commensal,Static,21,6,0.3565
Commensal,Static,21,7,0.3818
Commensal,Static,21,8,0.5251
Commensal,HOBIC,1,1,0.2021
Commensal,HOBIC,1,2,0.3594
Commensal,HOBIC,1,3,0.4019
Commensal,HOBIC,1,4,0.4877
Commensal,HOBIC,1,5,0.5059
Commensal,HOBIC,1,6,0.6037
Commensal,HOBIC,1,7,0.6362
Commensal,HOBIC,1,8,0.8056
Commensal,HOBIC,1,9,0.92
Commensal,HOBIC,3,1,0.045
Commensal,HOBIC,3,2,0.0681
Commensal,HOBIC,3,3,0.102
Commensal,HOBIC,3,4,0.1459
Commensal,HOBIC,3,5,0.1571
Commensal,HOBIC,3,6,0.2989
Commensal,HOBIC,3,7,0.3234
Commensal,HOBIC,3,8,0.6428
Commensal,HOBIC,6,1,0.0537
Commensal,HOBIC,6,2,0.1336
Commensal,HOBIC,6,3,0.1497
Commensal,HOBIC,6,4,0.197
Commensal,HOBIC,6,5,0.2091
Commensal,HOBIC,6,6,0.2971
Commensal,HOBIC,6,7,0.3241
Commensal,HOBIC,6,8,0.4569
Commensal,HOBIC,10,1,0.1498
Commensal,HOBIC,10,2,0.2263
Commensal,HOBIC,10,3,0.2319
Commensal,HOBIC,10,4,0.3442
Commensal,HOBIC,10,5,0.3621
Commensal,HOBIC,10,6,0.4779
Commensal,HOBIC,10,7,0.5151
Commensal,HOBIC,10,8,0.5363
Commensal,HOBIC,15,1,0.1982
Commensal,HOBIC,15,2,0.2124
Commensal,HOBIC,15,3,0.262
Commensal,HOBIC,15,4,0.3623
Commensal,HOBIC,15,5,0.387
Commensal,HOBIC,15,6,0.5159
Commensal,HOBIC,15,7,0.5679
Commensal,HOBIC,15,8,0.7027
Commensal,HOBIC,21,1,0.1765
Commensal,HOBIC,21,2,0.2504
Commensal,HOBIC,21,3,0.2806
Commensal,HOBIC,21,4,0.3554
Commensal,HOBIC,21,5,0.3664
Commensal,HOBIC,21,6,0.4978
Commensal,HOBIC,21,7,0.5304
Commensal,HOBIC,21,8,0.5903
Dysbiotic,Static,1,1,0.2009
Dysbiotic,Static,1,2,0.3358
Dysbiotic,Static,1,3,0.35
Dysbiotic,Static,1,4,0.3943
Dysbiotic,Static,1,5,0.4008
Dysbiotic,Static,1,6,0.4487
Dysbiotic,Static,1,7,0.464
Dysbiotic,Static,1,8,0.5476
Dysbiotic,Static,3,1,0.2495
Dysbiotic,Static,3,2,0.2862
Dysbiotic,Static,3,3,0.3057
Dysbiotic,Static,3,4,0.3455
Dysbiotic,Static,3,5,0.3558
Dysbiotic,Static,3,6,0.3998
Dysbiotic,Static,3,7,0.4092
Dysbiotic,Static,3,8,0.4999
Dysbiotic,Static,3,9,0.75
Dysbiotic,Static,6,1,0.2005
Dysbiotic,Static,6,2,0.281
Dysbiotic,Static,6,3,0.2986
Dysbiotic,Static,6,4,0.3698
Dysbiotic,Static,6,5,0.3922
Dysbiotic,Static,6,6,0.5412
Dysbiotic,Static,6,7,0.5961
Dysbiotic,Static,6,8,0.7856
Dysbiotic,Static,10,1,0.0607
Dysbiotic,Static,10,2,0.0202
Dysbiotic,Static,10,3,0.1189
Dysbiotic,Static,10,4,0.2586
Dysbiotic,Static,10,5,0.3304
Dysbiotic,Static,10,6,0.5796
Dysbiotic,Static,10,7,0.6041
Dysbiotic,Static,10,8,0.5924
Dysbiotic,Static,15,1,0.1015
Dysbiotic,Static,15,2,0.2174
Dysbiotic,Static,15,3,0.2767
Dysbiotic,Static,15,4,0.576
Dysbiotic,Static,15,5,0.6091
Dysbiotic,Static,15,6,0.8071
Dysbiotic,Static,15,7,0.8612
Dysbiotic,Static,15,8,1.0032
Dysbiotic,Static,21,1,0.0359
Dysbiotic,Static,21,2,0.0042
Dysbiotic,Static,21,3,0.1146
Dysbiotic,Static,21,4,0.4978
Dysbiotic,Static,21,5,0.5841
Dysbiotic,Static,21,6,0.7235
Dysbiotic,Static,21,7,0.7611
Dysbiotic,Static,21,8,0.9033
Dysbiotic,HOBIC,1,1,0.2512
Dysbiotic,HOBIC,1,2,0.381
Dysbiotic,HOBIC,1,3,0.3944
Dysbiotic,HOBIC,1,4,0.4366
Dysbiotic,HOBIC,1,5,0.4598
Dysbiotic,HOBIC,1,6,0.5513
Dysbiotic,HOBIC,1,7,0.5736
Dysbiotic,HOBIC,1,8,0.6016
Dysbiotic,HOBIC,3,1,0.1949
Dysbiotic,HOBIC,3,2,0.2642
Dysbiotic,HOBIC,3,3,0.3022
Dysbiotic,HOBIC,3,4,0.3821
Dysbiotic,HOBIC,3,5,0.4265
Dysbiotic,HOBIC,3,6,0.5536
Dysbiotic,HOBIC,3,7,0.5786
Dysbiotic,HOBIC,3,8,0.8049
Dysbiotic,HOBIC,6,1,0.1854
Dysbiotic,HOBIC,6,2,0.4368
Dysbiotic,HOBIC,6,3,0.5174
Dysbiotic,HOBIC,6,4,0.7127
Dysbiotic,HOBIC,6,5,0.7895
Dysbiotic,HOBIC,6,6,1.0062
Dysbiotic,HOBIC,6,7,1.0873
Dysbiotic,HOBIC,6,8,1.3285
Dysbiotic,HOBIC,10,1,0.3987
Dysbiotic,HOBIC,10,2,0.4889
Dysbiotic,HOBIC,10,3,0.5152
Dysbiotic,HOBIC,10,4,0.6066
Dysbiotic,HOBIC,10,5,0.6286
Dysbiotic,HOBIC,10,6,0.7018
Dysbiotic,HOBIC,10,7,0.7285
Dysbiotic,HOBIC,10,8,1.1545
Dysbiotic,HOBIC,10,9,1.16
Dysbiotic,HOBIC,15,1,0.2001
Dysbiotic,HOBIC,15,2,0.4181
Dysbiotic,HOBIC,15,3,0.4476
Dysbiotic,HOBIC,15,4,0.6095
Dysbiotic,HOBIC,15,5,0.6206
Dysbiotic,HOBIC,15,6,0.7423
Dysbiotic,HOBIC,15,7,0.7854
Dysbiotic,HOBIC,15,8,0.8543
Dysbiotic,HOBIC,21,1,0.0466
Dysbiotic,HOBIC,21,2,0.3357
Dysbiotic,HOBIC,21,3,0.4071
Dysbiotic,HOBIC,21,4,0.5739
Dysbiotic,HOBIC,21,5,0.6123
Dysbiotic,HOBIC,21,6,0.8773
Dysbiotic,HOBIC,21,7,0.9683
Dysbiotic,HOBIC,21,8,1.2628
